"title_english","genre"
"Inu X Boku Secret Service","Comedy, Supernatural, Romance, Shounen"
"My Bride is a Mermaid","Comedy, Parody, Romance, School, Shounen"
"Bakuman.","Comedy, Drama, Romance, Shounen"
"Shakugan no Shana: Season II","Action, Drama, Fantasy, Romance, School, Supernatural"
"Ouran High School Host Club","Comedy, Harem, Romance, School, Shoujo"
"Maid Sama!","Comedy, Romance, School, Shoujo"
"My Little Monster","Slice of Life, Comedy, Romance, School, Shoujo"
"Bleach","Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
"Chobits","Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
"Kimi ni Todoke: From Me to You","Slice of Life, Drama, Romance, School, Shoujo"
"Naruto: Shippuden","Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
"Toradora!","Slice of Life, Comedy, Romance, School"
"Bakuman.","Comedy, Drama, Romance, Shounen"
"Skip Beat!","Comedy, Drama, Romance, Shoujo"
"Chihayafuru","Drama, Game, Josei, School, Slice of Life, Sports"
"ItaKiss","Comedy, Romance, Shoujo"
"Beelzebub","Action, Comedy, Demons, Supernatural, School, Shounen"
"Yamada&#039;s First Time: B Gata H Kei","Comedy, Romance, Ecchi, School, Seinen"
"Fruits Basket","Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
"One Piece","Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
"Air Gear","Action, Comedy, Ecchi, Shounen, Sports"
"InuYasha","Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
"Accel World","Action, Game, Sci-Fi, Romance, School"
"Bakuman.","Comedy, Drama, Romance, Shounen"
"Nodame Cantabile","Music, Slice of Life, Comedy, Drama, Romance, Josei"
"Kamisama Kiss","Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
"Cardcaptor Sakura","Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
"Kimi ni Todoke: From Me To You 2","Slice of Life, Drama, Romance, School, Shoujo"
"K-ON! Season 2","Comedy, Music, School, Slice of Life"
"Space Dandy","Sci-Fi, Space, Comedy"
"Re:CREATORS","Action, Sci-Fi, Fantasy"
"Sound! Euphonium","Music, School, Drama"
"Dragon Ball Super","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
"Persona 4 the Animation","Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School"
"Fairy Tail","Action, Adventure, Comedy, Magic, Fantasy, Shounen"
"","Harem, Comedy, Romance, Ecchi, School, Seinen"
"I Can&#039;t Understand What My Husband Is Saying","Slice of Life, Comedy, Romance, Seinen"
"The Devil is a Part-Timer!","Comedy, Demons, Supernatural, Romance, Fantasy"
"Darker than Black","Action, Sci-Fi, Mystery, Super Power"
"Classroom of the Elite","Drama, Psychological, School, Slice of Life"
"School Days","Harem, Drama, Romance, School"
"Hetalia Axis Powers","Comedy, Historical, Parody"
"Ergo Proxy","Sci-Fi, Mystery, Psychological"
"Black Butler II","Action, Comedy, Demons, Supernatural, Fantasy, Shounen"
"","Ecchi, Comedy, Supernatural"
"Hunter x Hunter","Action, Adventure, Super Power, Shounen"
"Phantom: Requiem for the Phantom","Action, Drama, Seinen, Thriller"
"Devil May Cry","Action, Demons, Fantasy"
"OreImo","Slice of Life, Comedy"
"Dusk Maiden of Amnesia","Horror, Mystery, Romance, School, Shounen, Supernatural"
"Bleach the Movie: Memories of Nobody","Action, Adventure, Super Power"
"Nana","Music, Slice of Life, Comedy, Drama, Romance, Shoujo"
"Seraph of the End: Battle in Nagoya","Action, Military, Supernatural, Drama, Vampire, Shounen"
"Heaven&#039;s Lost Property: Forte","Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural"
"Kuroko&#039;s Basketball 2","Comedy, Sports, School, Shounen"
"D-Frag!","Game, Comedy, School, Seinen"
"Haikyu!! 2nd Season","Comedy, Sports, Drama, School, Shounen"
"Vampire Knight","Drama, Mystery, Romance, Shoujo, Supernatural, Vampire"
"Yusibu: I couldnt become a hero, so I reluctantly decided to get a job.","Comedy, Romance, Ecchi, Fantasy"
"Kaze no Stigma","Action, Magic, Romance, Fantasy, Shounen"
"My Neighbor Totoro","Adventure, Comedy, Supernatural"
"The Seven Deadly Sins","Action, Adventure, Supernatural, Magic, Ecchi, Fantasy, Shounen"
